"SITECODE";"NAZEV";"HABITAT_CODE";"DATE_MIN";"DATE_MAX";"PAR_NAZEV";"PAR_HODNOTA";"ROK_HODNOCENI"
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"DEGRAD_AREA_HA";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"DEGRAD_AREA_PERC";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"PERC_0";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"PERC_1";"0";2024
"CZ0210064";"Písečný přesyp u Píst";"2330";"19620";"19620";"PERC_2";"100";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"ROZLOHA";"5.07";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"KVALITA";"2.02";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"TYPICKE_DRUHY";"2";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"REPRE";"1.742";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"REPRE_SDF";"2.258";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"CONSERVATION";"1.788";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"DEGREE_OF_CONSERVATION";"100";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"MRTVE_DREVO";NA;2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"KALAMITA_POLOM";NA;2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"RELATIVE_AREA_PERC";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"EVL_AREA_PERC";"16.351";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"GOOD_DOC_AREA_HA";"5.07";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"W_AREA_HA";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"W_AREA_PERC";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"PASEKY_AREA_HA";NA;2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"PASEKY_AREA_PERC";NA;2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"DEGRAD_AREA_HA";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"DEGRAD_AREA_PERC";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"PERC_0";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"PERC_1";"0";2024
"CZ0210114";"Radouč";"2330";"19156";"19207";"PERC_2";"100";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"ROZLOHA";"0.091";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"KVALITA";"2.644";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"TYPICKE_DRUHY";"2.527";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"REPRE";"1.527";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"REPRE_SDF";"3";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"CONSERVATION";"2.322";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"DEGREE_OF_CONSERVATION";"67.784";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"MRTVE_DREVO";NA;2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"KALAMITA_POLOM";NA;2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"RELATIVE_AREA_PERC";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"EVL_AREA_PERC";"0.024";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"GOOD_DOC_AREA_HA";"0.062";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"W_AREA_HA";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"W_AREA_PERC";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"PASEKY_AREA_HA";NA;2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"PASEKY_AREA_PERC";NA;2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"DEGRAD_AREA_HA";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"DEGRAD_AREA_PERC";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"PERC_0";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"PERC_1";"0";2024
"CZ0210152";"Polabí u Kostelce";"2330";"17314";"17314";"PERC_2";"100";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"ROZLOHA";"0.301";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"KVALITA";"2.453";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"TYPICKE_DRUHY";"1.448";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"REPRE";"0.783";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"REPRE_SDF";"2.443";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"CONSERVATION";"2.227";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"DEGREE_OF_CONSERVATION";"77.344";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"MRTVE_DREVO";NA;2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"KALAMITA_POLOM";NA;2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"RELATIVE_AREA_PERC";"0";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"EVL_AREA_PERC";"57.705";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"GOOD_DOC_AREA_HA";"0.233";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"W_AREA_HA";"0.067";2024
"CZ0210730";"Písčina u Byšiček";"2330";"18826";"19289";"W_AREA_PERC";"22.168";2024
