kod_chu,DRUH,KOD_LOKAL,POLE,POSLEDNI_NALEZ
CZ0314124,Lampetra planeri,BLL_LP_008_Blanský les,7051d,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_009_Blanský les,7051c,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_010_Blanský les,7051c,2023-10-27
CZ0314124,Lampetra planeri,BLL_LP_011_Blanský les,7051c,2023-10-27
CZ0314124,Lampetra planeri,BLL_LP_012_Blanský les,7051c,2023-10-27
CZ0314124,Lampetra planeri,BLL_LP_013_Blanský les,7051c,2023-10-27
CZ0314124,Lampetra planeri,BLL_LP_014_Blanský les,7151d,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_015_Blanský les,7151c,2023-10-28
CZ0314124,Lampetra planeri,BLL_LP_016_Blanský les,7151a,2023-10-28
CZ0314124,Lampetra planeri,Blanský les,7050d,2022-10-28
CZ0314124,Lampetra planeri,Blanský les,7051c,2022-10-28
CZ0314124,Lampetra planeri,Blanský les,7051d,2022-10-28
CZ0314124,Lampetra planeri,Blanský les,7052c,2022-11-06
CZ0314124,Lampetra planeri,Blanský les,7151a,2022-10-28
CZ0314124,Lampetra planeri,Blanský les,7151c,2022-10-28
CZ0314124,Lampetra planeri,Blanský les,7151d,2022-11-05
CZ0314124,Lampetra planeri,Blanský les,7152a,2019-10-28
CZ0314124,Lampetra planeri,Blanský_les,7152a,2019-10-28
CZ0314124,Lampetra planeri,CZ0314124,7051c,2014-09-03
CZ0314124,Lampetra planeri,CZ0314124,7151a,2021-03-31
CZ0314124,Lampetra planeri,CZ0314124,7151c,2022-03-25
CZ0314124,Lampetra planeri,CZ0314124,7152a,2024-03-25
CZ0314124,Lampetra planeri,CZ0314124,7152c,2012-08-31
CZ0314126,Lampetra planeri,CZ0314126,6953a,2012-09-26
CZ0314126,Osmoderma barnabita,CZ0314126,6852d,2019-01-01
CZ0314126,Osmoderma barnabita,CZ0314126,6952b,2020-07-20
CZ0314641,Lampetra planeri,CZ0314641,6950c,2017-11-09
CZ0314641,Lampetra planeri,CZ0314641,7050a,2024-08-12
CZ0314641,Lampetra planeri,Zlatý potok,6950c,2022-09-09
CZ0314641,Lampetra planeri,Zlatý potok,7050a,2022-09-09
CZ0320053,Osmoderma barnabita,CZ0320053,6048d,2013-10-29
CZ0320140,Bombina variegata,CZ0320140,6447c,2014-04-24
CZ0322055,Bombina variegata,CZ0322055,6442d,2021-09-21
CZ0323143,Bombina variegata,CZ0323143,6447a,2024-06-08
CZ0323145,Lampetra planeri,CZ0323145,6347d,2016-07-07
CZ0323145,Lampetra planeri,CZ0323145,6348c,2016-07-08
CZ0323151,Lampetra planeri,CZ0323151,6341b,2020-11-16
CZ0323155,Osmoderma barnabita,BROUCI113,6347a,2022-08-08
CZ0323155,Osmoderma barnabita,BROUCI255,6347a,2023-06-19
CZ0323155,Osmoderma barnabita,BROUCI256,6347a,2023-06-19
CZ0323159,Osmoderma barnabita,CZ0323159,6246b,2013-11-06
CZ0323160,Bombina variegata,CZ0323160,6443b,2024-06-07
CZ0323162,Bombina variegata,CZ0323162,6445b,2024-07-14
CZ0323165,Lampetra planeri,CZ0323165,6443c,2015-10-19
CZ0323165,Lampetra planeri,RAD_001_Radbuza,6443c,2022-09-24
CZ0323165,Lampetra planeri,Radbuza,6442b,2024-10-22
CZ0323165,Lampetra planeri,Radbuza,6443a,2024-10-22
CZ0323165,Lampetra planeri,Radbuza,6443c,2018-10-02
CZ0323166,Lampetra planeri,CZ0323166,6441b,2015-10-25
CZ0323166,Lampetra planeri,CZ0323166,6442c,2022-05-04
CZ0323167,Bombina variegata,CZ0323167,6247c,2022-05-18
CZ0323167,Bombina variegata,CZ0323167,6247d,2024-06-17
CZ0323167,Bombina variegata,amp67/ab,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/ac,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ad,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/ae,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/af,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/ag,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/ah,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/ai,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/aj,6247c,2024-06-25
CZ0323167,Bombina variegata,amp67/ak,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/al,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/am,6247c,2024-06-25
CZ0323167,Bombina variegata,amp67/an,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/ao,6247c,2023-06-08
CZ0323167,Bombina variegata,amp67/ap,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/aq,6247c,2024-06-25
CZ0323167,Bombina variegata,amp67/ar,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/as,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/at,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/au,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/av,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/aw,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/ax,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/ay,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/az,6247d,2019-06-17
CZ0323167,Bombina variegata,amp67/ba,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/bb,6247c,2019-06-17
CZ0323167,Bombina variegata,amp67/be,6247d,2021-06-02
CZ0323167,Bombina variegata,amp67/bf,6247d,2020-06-02
CZ0323167,Bombina variegata,amp67/bg,6247d,2024-06-25
CZ0323167,Bombina variegata,amp67/bh,6247c,2022-06-08
